"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",1,"Ahlaf",NA,"Commune Rural","Rural Commune"
2,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",2,"Ain Tizgha",NA,"Commune Rural","Rural Commune"
3,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",3,"Fdalate",NA,"Commune Rural","Rural Commune"
4,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",4,"Mellila",NA,"Commune Rural","Rural Commune"
5,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",5,"Moualine El Ghaba",NA,"Commune Rural","Rural Commune"
6,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",6,"Moualine El Ouad",NA,"Commune Rural","Rural Commune"
7,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",7,"Oulad Ali Toualaa",NA,"Commune Rural","Rural Commune"
8,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",8,"Oulad Yahya Louta",NA,"Commune Rural","Rural Commune"
9,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",9,"Rdadna Oulad Malek",NA,"Commune Rural","Rural Commune"
10,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",1,"Ben Slimane",10,"Ziaida",NA,"Commune Rural","Rural Commune"
11,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",11,"Bir Ennasr",NA,"Commune Rural","Rural Commune"
12,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",12,"Bni Yakhlef",NA,"Commune Rural","Rural Commune"
13,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",13,"El Mansouria",NA,"Commune Rural","Rural Commune"
14,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",14,"Sidi Bettache",NA,"Commune Rural","Rural Commune"
15,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",15,"Sidi Khdim",NA,"Commune Rural","Rural Commune"
16,152,"MAR","Morocco",1,"Chaouia - Ouardigha",1,"Ben Slimane",2,"Bouznika",16,"Sidi Moussa Ben Ali",NA,"Commune Rural","Rural Commune"
